origin,dest,num_flights,time_hour,flight_type,stops,airline,flight_number,arrival_time,aircraft_type,frequency
JFK,ORD,1,1/1/13 07:17,Domestic,0,Air France,AI869,01/01/13 09:47,Airbus A320,Bi-Weekly
JFK,YYZ,1,1/1/13 18:05,International,1,American Airlines,AM344,01/01/13 19:35,Airbus A380,Monthly
JFK,ORD,1,1/1/13 14:37,Domestic,2,JetBlue,JE336,01/01/13 17:07,Airbus A380,Monthly
JFK,HND,1,1/1/13 16:59,International,1,American Airlines,AM450,01/02/13 06:59,Boeing 737,Monthly
JFK,ORD,1,1/1/13 07:09,Domestic,0,United,UN449,01/01/13 09:39,Airbus A320,Bi-Weekly
JFK,ORD,1,1/1/13 14:08,Domestic,2,Air France,AI614,01/01/13 16:38,Boeing 777,Daily
JFK,BOS,1,1/1/13 16:36,Domestic,0,Qatar Airways,QA548,01/01/13 18:06,Boeing 737,Monthly
JFK,MCO,1,1/1/13 13:08,Domestic,0,Lufthansa,LU635,01/01/13 16:08,Airbus A380,Daily
JFK,ATL,1,1/1/13 14:20,Domestic,0,United,UN896,01/01/13 16:20,Airbus A380,Weekly
JFK,ORD,1,1/1/13 13:08,Domestic,1,Air France,AI238,01/01/13 15:38,Embraer 190,Monthly
JFK,MCO,1,1/1/13 08:37,Domestic,1,JetBlue,JE249,01/01/13 11:37,Airbus A320,Monthly
JFK,CLT,1,1/1/13 06:09,Domestic,0,Lufthansa,LU636,01/01/13 08:09,Boeing 787,Bi-Weekly
JFK,CDG,1,1/1/13 17:54,International,0,Qatar Airways,QA364,01/02/13 01:24,Boeing 777,Monthly
JFK,HND,1,1/1/13 14:00,International,1,Delta,DE402,01/02/13 04:00,Boeing 777,Monthly
JFK,MCO,1,1/1/13 06:25,Domestic,0,Delta,DE371,01/01/13 09:25,Boeing 777,Monthly
JFK,SYD,1,1/1/13 06:59,International,1,United,UN285,01/02/13 02:59,Boeing 787,Weekly
JFK,ORD,1,1/1/13 13:58,Domestic,2,Emirates,EM437,01/01/13 16:28,Boeing 737,Monthly
JFK,ORD,1,1/1/13 08:47,Domestic,2,Emirates,EM251,01/01/13 11:17,Boeing 777,Bi-Weekly
JFK,YYZ,1,1/1/13 12:07,International,1,Qatar Airways,QA730,01/01/13 13:37,Embraer 190,Monthly
JFK,BOS,1,1/1/13 08:14,Domestic,0,Qatar Airways,QA897,01/01/13 09:44,Embraer 190,Bi-Weekly
JFK,CLT,1,1/1/13 06:57,Domestic,2,Emirates,EM376,01/01/13 08:57,Airbus A320,Daily
JFK,YYZ,1,1/1/13 16:58,International,2,JetBlue,JE985,01/01/13 18:28,Boeing 777,Bi-Weekly
JFK,BOS,1,1/1/13 06:34,Domestic,1,United,UN211,01/01/13 08:04,Embraer 190,Weekly
JFK,GRU,1,1/1/13 16:16,International,1,Lufthansa,LU965,01/02/13 02:16,Boeing 777,Weekly
JFK,SYD,1,1/1/13 17:24,International,1,Lufthansa,LU445,01/02/13 13:24,Airbus A380,Daily
JFK,AMS,1,1/1/13 07:22,International,1,JetBlue,JE155,01/01/13 14:52,Boeing 737,Weekly
JFK,ORD,1,1/1/13 17:36,Domestic,0,Air France,AI244,01/01/13 20:06,Boeing 737,Weekly
JFK,FRA,1,1/1/13 08:13,International,0,British Airways,BR541,01/01/13 16:13,Boeing 787,Monthly
JFK,YYZ,1,1/1/13 08:14,International,0,British Airways,BR608,01/01/13 09:44,Boeing 777,Daily
JFK,CLT,1,1/1/13 16:00,Domestic,0,Delta,DE528,01/01/13 18:00,Boeing 787,Daily
JFK,PVG,1,1/1/13 16:25,International,2,United,UN742,01/02/13 07:25,Airbus A320,Monthly
JFK,ATL,1,1/1/13 13:40,Domestic,0,Qatar Airways,QA525,01/01/13 15:40,Airbus A320,Daily
JFK,PVG,1,1/1/13 07:14,International,0,American Airlines,AM934,01/01/13 22:14,Boeing 737,Daily
JFK,AMS,1,1/1/13 08:07,International,2,Air France,AI163,01/01/13 15:37,Boeing 737,Bi-Weekly
JFK,PVG,1,1/1/13 15:36,International,1,American Airlines,AM190,01/02/13 06:36,Boeing 737,Daily
JFK,MCO,1,1/1/13 06:03,Domestic,1,JetBlue,JE485,01/01/13 09:03,Embraer 190,Bi-Weekly
JFK,MCO,1,1/1/13 17:29,Domestic,1,Qatar Airways,QA746,01/01/13 20:29,Airbus A320,Bi-Weekly
JFK,LHR,1,1/1/13 14:29,International,0,Emirates,EM635,01/01/13 21:29,Airbus A380,Daily
JFK,ATL,1,1/1/13 07:26,Domestic,1,JetBlue,JE392,01/01/13 09:26,Boeing 737,Bi-Weekly
JFK,SYD,1,1/1/13 15:27,International,0,JetBlue,JE147,01/02/13 11:27,Airbus A380,Monthly
JFK,BOS,1,1/1/13 14:11,Domestic,0,Air France,AI526,01/01/13 15:41,Boeing 737,Weekly
JFK,ORD,1,1/1/13 07:09,Domestic,1,United,UN439,01/01/13 09:39,Airbus A380,Bi-Weekly
JFK,CLT,1,1/1/13 07:48,Domestic,0,Air France,AI259,01/01/13 09:48,Embraer 190,Monthly
JFK,ORD,1,1/1/13 07:01,Domestic,0,British Airways,BR615,01/01/13 09:31,Airbus A320,Monthly
JFK,ORD,1,1/1/13 06:07,Domestic,1,United,UN608,01/01/13 08:37,Embraer 190,Monthly
JFK,ATL,1,1/1/13 17:14,Domestic,1,Emirates,EM816,01/01/13 19:14,Embraer 190,Bi-Weekly
JFK,ORD,1,1/1/13 18:08,Domestic,1,Lufthansa,LU287,01/01/13 20:38,Boeing 777,Monthly
JFK,SYD,1,1/1/13 14:19,International,0,United,UN183,01/02/13 10:19,Airbus A380,Weekly
JFK,MCO,1,1/1/13 08:55,Domestic,2,Qatar Airways,QA416,01/01/13 11:55,Airbus A380,Bi-Weekly
JFK,CLT,1,1/1/13 17:02,Domestic,0,Air France,AI787,01/01/13 19:02,Embraer 190,Monthly
JFK,ATL,1,1/1/13 13:06,Domestic,0,Lufthansa,LU748,01/01/13 15:06,Boeing 787,Daily
JFK,DXB,1,1/1/13 18:52,International,0,Emirates,EM425,01/02/13 06:52,Airbus A320,Weekly
JFK,CLT,1,1/1/13 13:46,Domestic,0,United,UN403,01/01/13 15:46,Airbus A380,Weekly
JFK,LHR,1,1/1/13 13:50,International,1,American Airlines,AM788,01/01/13 20:50,Boeing 737,Bi-Weekly
JFK,FRA,1,1/1/13 17:19,International,2,Air France,AI328,01/02/13 01:19,Boeing 777,Bi-Weekly
JFK,ATL,1,1/1/13 06:20,Domestic,0,American Airlines,AM234,01/01/13 08:20,Airbus A320,Weekly
JFK,AMS,1,1/1/13 06:42,International,0,American Airlines,AM990,01/01/13 14:12,Airbus A320,Monthly
JFK,LHR,1,1/1/13 18:19,International,1,American Airlines,AM190,01/02/13 01:19,Boeing 737,Weekly
JFK,CLT,1,1/1/13 18:44,Domestic,2,Emirates,EM221,01/01/13 20:44,Boeing 787,Bi-Weekly
JFK,CLT,1,1/1/13 13:49,Domestic,0,Delta,DE835,01/01/13 15:49,Airbus A380,Monthly
JFK,ORD,1,1/1/13 13:58,Domestic,0,British Airways,BR842,01/01/13 16:28,Airbus A320,Bi-Weekly
JFK,FRA,1,1/1/13 16:29,International,1,Lufthansa,LU915,01/02/13 00:29,Boeing 737,Bi-Weekly
JFK,BOS,1,1/1/13 12:12,Domestic,1,Delta,DE599,01/01/13 13:42,Boeing 777,Monthly
JFK,ORD,1,1/1/13 07:28,Domestic,2,United,UN728,01/01/13 09:58,Airbus A380,Monthly
